歌曲id,歌曲名字,演唱者,歌曲信息URL,歌曲下载URL地址
36019796,Alone,Dalchong,http://music.163.com/song?id=36019796,http://m2.music.126.net/iFP1qjpZbAaROQ0EfIXRcQ==/3396391419624614.mp3
33516495,mede:mede,れをる（Reworu，Reol）,http://music.163.com/song?id=33516495,http://m2.music.126.net/PDtxgoOZq_QPtIRxK13ZkQ==/3440371884110828.mp3
36308916,Monody,TheFatRat/Laura Brehm（The Fat Rat）,http://music.163.com/song?id=36308916,http://m2.music.126.net/Gj-m6e4_qZfwgPS18rkkxw==/3294136840241094.mp3
36490090,I Took A Pill In Ibiza (SeeB Remix),SeeB/Mike Posner（挪威电子音乐男歌手）,http://music.163.com/song?id=36490090,http://m2.music.126.net/niaT9yc2MtBDJvJI71aflw==/1365593444159184.mp3
28987626,Animals,Maroon 5（褐红五人组）,http://music.163.com/song?id=28987626,http://m2.music.126.net/NYq7If0Alf1wH0b81vrEpw==/6668538022514769.mp3
32408002,??? (BANG BANG BANG),BIGBANG,http://music.163.com/song?id=32408002,http://m2.music.126.net/hKZKe7Cwicfz2aNjhnP3xA==/7995648557199724.mp3
399354184,You Don't Know Me (feat. Brodie Barclay),Ofenbach/Brodie Barclay,http://music.163.com/song?id=399354184,http://m2.music.126.net/fKB40rFBhPpjHVNBad4oQg==/1364493961885020.mp3
401249910,We Don't Talk Anymore,Charlie Puth/Selena Gomez,http://music.163.com/song?id=401249910,http://m2.music.126.net/WDSOcdTXMNaiqDvYgg1bzg==/1378787581785954.mp3
404184010,Faded (Restrung),Alan Walker,http://music.163.com/song?id=404184010,http://m2.music.126.net/Hn2wcuVashskpF1Lckf1cA==/1399678303643871.mp3
35847559,Sorry,Justin Bieber（Justin Drew Bieber）,http://music.163.com/song?id=35847559,http://m2.music.126.net/wxiiTmRR6YTuBr3x35CGkA==/3285340745299897.mp3
405599687,Crush,Yuna/Usher（马来西亚歌手）,http://music.163.com/song?id=405599687,http://m2.music.126.net/MpaGzkwv4os_Rg6zeYABQA==/1385384653583278.mp3
35847037,多幸运,韩安旭,http://music.163.com/song?id=35847037,http://m2.music.126.net/N_2fJbqpi8QDnV1YJPCsuw==/3424978721721344.mp3
39443443,",29777652,恋恋风尘,程璧,http://music.163.com/song?id=29777652,http://m2.music.126.net/AYnQ7kVZXTFei0RtQ_PGTA==/3244658815248018.mp3斑马, 斑马（原唱: 宋冬野）",IU（李知恩）,http://music.163.com/song?id=39443443,http://m2.music.126.net/W8mcwcONibEgo4BIuLw0lw==/3295236355160055.mp3
30780496,Mine (Illenium Remix),ILLENIUM/Phoebe Ryan,http://music.163.com/song?id=30780496,http://m2.music.126.net/k8OZyoMgg5mFwobj1h4G4Q==/2885118513009773.mp3
407761821,太阳的后裔 MIX,林沁,http://music.163.com/song?id=407761821,http://m2.music.126.net/_clme2p5cqV34Thq9sKpbg==/1412872445928072.mp3
399410693,La La Land,Jax,http://music.163.com/song?id=399410693,http://m2.music.126.net/alLDa1rvtYhzTnpJCKN2-Q==/2534374306603713.mp3
410821967,"COOLEST（TV动画《在下坂本,有何贵干?》片头曲 / TVアニメ「坂本ですが?」オ┼プニング?テ┼マ）",カスタマイZ,http://music.163.com/song?id=410821967,http://m2.music.126.net/8OncMaQq4mfHiarL819MoQ==/1375489055255293.mp3
405253631,梦回还,呦猫UNEKO,http://music.163.com/song?id=405253631,http://m2.music.126.net/_UIxqaCvHDakeDUGtHQAFA==/3300733909485749.mp3
404783205,Work from Home,Fifth Harmony/Ty Dolla $ign（5th Harmony，5H）,http://music.163.com/song?id=404783205,http://m2.music.126.net/EzYEFNggjzDK-EPv-K9Whw==/1382086117939159.mp3
411314681,This Is What You Came For,Calvin Harris/Rihanna,http://music.163.com/song?id=411314681,http://m2.music.126.net/-BF32ZGv5188ZMxuLh19bQ==/1371091008645681.mp3
36668810,YOUTH,Troye Sivan（Troye Sivan Mellet）,http://music.163.com/song?id=36668810,http://m2.music.126.net/zDqM6zrRhLIZm_Ixm0MJtQ==/3253454911450442.mp3
27646199,斑马，斑马,宋冬野,http://music.163.com/song?id=27646199,http://m2.music.126.net/ilRcigKes7NOuevfGW8Qnw==/5841705278485682.mp3
36990266,Faded,Alan Walker,http://music.163.com/song?id=36990266,http://m2.music.126.net/OjgrxW7zsP6QzPE9baQULA==/1415071473003094.mp3
409031076,One Dance,Drake/WizKid/Kyla（Aubrey Drake Graham）,http://music.163.com/song?id=409031076,http://m2.music.126.net/FAhr1vmKtrQKwSEgDPcdFg==/1383185633053309.mp3
411921855,CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's “Trolls”),Justin Timberlake,http://music.163.com/song?id=411921855,http://m2.music.126.net/2W54HApuFGjaLB5Zg5N0hQ==/1380986613486870.mp3
407679465,耿耿于怀（网络剧《最好的我们》主题曲）,王笑文,http://music.163.com/song?id=407679465,http://m2.music.126.net/yzaw96ptpVSE2gBMHSyD1A==/1401877329178859.mp3
29534449,Unity,TheFatRat（The Fat Rat）,http://music.163.com/song?id=29534449,http://m2.music.126.net/P0jKd7yyfvfWVk2hGy4NwA==/6625657069869434.mp3
412319417,明日之歌,超级对撞机乐队,http://music.163.com/song?id=412319417,http://m2.music.126.net/tlRKCyo_jNHVqOZkNbclaw==/1405175869756677.mp3
413829746,照旧的春光,阿见,http://music.163.com/song?id=413829746,http://m2.music.126.net/9eYZSYolPC_IeFnf-jq-SQ==/1426066592243409.mp3
409302163,不愿回头（动画《镇魂街》主题曲）,南征北战,http://music.163.com/song?id=409302163,http://m2.music.126.net/OusEcoGPDJEf_4AwPRgY_Q==/1372190517110237.mp3
402073803,莉莉安（原唱 : 宋冬野）,徐佳莹（LALA）,http://music.163.com/song?id=402073803,http://m2.music.126.net/IRWywrioM8iX4OYFuJOHRQ==/1374389535415469.mp3
399354289,不说再见（电影《谁的青春不迷茫》主题曲）,好妹妹乐队,http://music.163.com/song?id=399354289,http://m2.music.126.net/qRSRi5ALeZvH38LGWI_jFw==/3253454912701919.mp3
409931224,Just Like Fire,P!nk（Pink）,http://music.163.com/song?id=409931224,http://m2.music.126.net/kWAzXHXdBIcB-mfzUtcvCQ==/1396379774247635.mp3
402070840,我（原唱 : 蔡依林）,苏运莹,http://music.163.com/song?id=402070840,http://m2.music.126.net/SPl4LuAIz08iuapSmTxx2Q==/1368891977288282.mp3
412319666,猪老三,何大河,http://music.163.com/song?id=412319666,http://m2.music.126.net/O8mdwgU0UWTas26BIwoa5w==/3446968954254936.mp3
413829781,我是全英雄联盟最骚的骚猪 （moon ft 陌澜）,moon,http://music.163.com/song?id=413829781,http://m2.music.126.net/vYXtyAAqgyT8uLmrK5YZhA==/2946691164771680.mp3
412319665,【三畿道】禁忌边界线,三畿道,http://music.163.com/song?id=412319665,http://m2.music.126.net/yuFo_Ov1LURexdLhUGzs0g==/3265549537838006.mp3
412902950,最佳歌手,许嵩（Vae）,http://music.163.com/song?id=412902950,http://m2.music.126.net/x7VImedbr440vf1yxtZPQA==/1368891987467519.mp3
410846246,Send My Love (To Your New Lover)（我的爱 (致你的新恋人)）,Adele（Adele Laurie Blue Adkins）,http://music.163.com/song?id=410846246,http://m2.music.126.net/Dn0l6i5zEuMx32YNz7Atew==/1385384661395446.mp3
412911436,画 (Live Piano Session II),G.E.M.邓紫棋（G.E.M.）,http://music.163.com/song?id=412911436,http://m2.music.126.net/wJwbr1D85diGsAMlofhhJQ==/1394180754698877.mp3
412902689,初学者,薛之谦,http://music.163.com/song?id=412902689,http://m2.music.126.net/B1CdQsygojH2743nkuey-A==/1395280266408815.mp3
412519801,星空叙事曲,冯佳界（西山乐队）,http://music.163.com/song?id=412519801,http://m2.music.126.net/LD4HLBcjyhzdNObX8dGfvw==/1393081242556827.mp3
413829859,童话镇,暗杠,http://music.163.com/song?id=413829859,http://m2.music.126.net/CTuB1JtgTQ0z0GJIVq4EAw==/3420580677998318.mp3
412902921,Lion,狮子合唱团,http://music.163.com/song?id=412902921,http://m2.music.126.net/PJjoUbiERizFlLkdoTXfmQ==/1411772940802636.mp3
412902104,Wherever I Go,OneRepublic（一体共和）,http://music.163.com/song?id=412902104,http://m2.music.126.net/Ekrqh0ax-gIQmhIUE90UwQ==/3437073349760597.mp3
412911786,谎话情歌,好妹妹乐队,http://music.163.com/song?id=412911786,http://m2.music.126.net/TwsxlSYNgz0SJp9hDPx81g==/1366692964182944.mp3
29947420,Fade,Alan Walker,http://music.163.com/song?id=29947420,http://m2.music.126.net/jmbK0BejI2Q978LOc8YYOQ==/6622358535602246.mp3
408332757,骄傲的少年（动画《那年那兔那些事儿》第二季片尾曲）,南征北战,http://music.163.com/song?id=408332757,http://m2.music.126.net/mWfW85ZYqi4xJyqsu16QNg==/1378787585822651.mp3
405599119,7 Years,Lukas Graham,http://music.163.com/song?id=405599119,http://m2.music.126.net/-oi_xCcTnZrrYXO-9f08Xw==/1382086122369555.mp3
411921135,RE,BYE,http://music.163.com/song?id=411921135,http://m2.music.126.net/UQfgiOug7CtlGX49z65Xcg==/1374389543546339.mp3
36471573,浙江温州江南皮革厂倒闭了（原作者：女孩为何穿短裙）,DJRE,http://music.163.com/song?id=36471573,http://m2.music.126.net/9ynDgVxhRuhRlz6-jG4YoA==/3397490934291953.mp3
413812723,Almost Lover (Live),IU（李知恩）,http://music.163.com/song?id=413812723,http://m2.music.126.net/k7a3SAaJV__qkjUHH9G-EA==/3251255885272119.mp3
414523704,Superstar,Pitbull/Becky G（皮特保罗）,http://music.163.com/song?id=414523704,http://m2.music.126.net/bbninT9pXJDWoAp8ZBPfnw==/3402988489783919.mp3
409872504,ninelie（TV动画「甲铁城的卡巴内瑞」ED）,Aimer/EGOIST（エメエゴイスト）,http://music.163.com/song?id=409872504,http://m2.music.126.net/5DHLkgKQCOlVf5f0ku_wuw==/1387583683587223.mp3
414776872,青少女巡逻队,王若琳（Joanna Wang）,http://music.163.com/song?id=414776872,http://m2.music.126.net/IhJqpfnYWgN5FPvo6q0Lmw==/1411772941237856.mp3
414706021,南下,徐海俏,http://music.163.com/song?id=414706021,http://m2.music.126.net/1MpHtRkiwfiM1WDZPZrKeQ==/3419481164558901.mp3
402070862,Don't Let Me Down (Original Mix),The Chainsmokers/Daya,http://music.163.com/song?id=402070862,http://m2.music.126.net/3LzD9vzGwdYcmhETns_50Q==/1415071469389073.mp3
414735145,Live Your Life (feat. Lil Rong),OUTER SPACE/Symmetry,http://music.163.com/song?id=414735145,http://m2.music.126.net/E1RpWQmmeJ4xsoZUDQ6zmA==/3427177746830253.mp3
413812448,大鱼（动画电影《大鱼海棠》印象曲）,周深,http://music.163.com/song?id=413812448,http://m2.music.126.net/jE8OAnQuv2JgFdU-zPOPbw==/3265549535705979.mp3
413834633,小娃,马雨阳（雨阳乐队）,http://music.163.com/song?id=413834633,http://m2.music.126.net/lyd0SD5xBGM_oVHyFCndSQ==/3252355396241917.mp3
413961906,STYX HELIX（TV动画《Re:从零开始异世界生活》片尾曲 / TVアニメ「Re:ゼロから始める世界生活」EDテ┼マ）,MYTH & ROID,http://music.163.com/song?id=413961906,http://m2.music.126.net/pVXCPAy__VRhifyUvY1uSg==/3412884094987332.mp3
414980026,转世的守候,小娟&山谷里的居民（王秀娟）,http://music.163.com/song?id=414980026,http://m2.music.126.net/QdbON5MaB5phwWSm8ZYFrg==/3418381652856203.mp3
414826579,如果你认真爱过一个人,刘明辉,http://music.163.com/song?id=414826579,http://m2.music.126.net/ObVHWn7uyRUzDMBxsdg77w==/3393092886029611.mp3
414979034,嚣张,钟舒祺,http://music.163.com/song?id=414979034,http://m2.music.126.net/fgLjhWVPCzlvcF-Wv4ZjFA==/3432675303750105.mp3
414670166,全家（Family Mart）,小老虎,http://music.163.com/song?id=414670166,http://m2.music.126.net/O11cnBDsTZM8KHuwT9WOWA==/1386484173766478.mp3
413077445,越走越远的旅客（电视剧《那年青春我们正好》插曲）,王铮亮,http://music.163.com/song?id=413077445,http://m2.music.126.net/dgKDjyW0sQX-QHUgrJma9Q==/1416170987216808.mp3
412951744,无画,小娟&山谷里的居民（王秀娟）,http://music.163.com/song?id=412951744,http://m2.music.126.net/L-FdPAvuZK_9Tpxzzr6VzA==/1366692963468153.mp3
413074398,我是全英雄联盟最骚的骚猪,PDD,http://music.163.com/song?id=413074398,http://m2.music.126.net/DLfuWGUg6VHaLkmfFxh9Cg==/3420580675573659.mp3
414826474,Hawt Stuff (Radio Edit),Vicetone,http://music.163.com/song?id=414826474,http://m2.music.126.net/XTaGgQaOdQi7V1PmnAFcyw==/3420580679502488.mp3
